"","lambda","z","UE","SE","Sm","Sn","E"
"239",0.34,0.05,0,0.572275,0.34845,0.053275,0.026
"240",0.35,0.05,0,0.564075,0.3566,0.052775,0.02655
"241",0.36,0.05,0,0.55565,0.364875,0.0523,0.027175
"242",0.37,0.05,0,0.547275,0.373175,0.05185,0.0277
"243",0.07,0,0,0.782325,0.132675,0.072675,0.012325
"244",0.38,0.05,0,0.539275,0.381125,0.051325,0.028275
"245",0.39,0.05,0,0.531025,0.38935,0.050725,0.0289
"246",0.4,0.05,0,0.522625,0.397775,0.05025,0.02935
"247",0.41,0.05,0,0.514675,0.405925,0.049625,0.029775
"248",0.42,0.05,0,0.506525,0.414125,0.049,0.03035
"249",0.43,0.05,0,0.498,0.422725,0.048525,0.03075
"250",0.44,0.05,0,0.49015,0.430675,0.047825,0.03135
"251",0.45,0.05,0,0.48205,0.438875,0.0472,0.031875
"252",0.46,0.05,0,0.473875,0.44715,0.046625,0.03235
"253",0.47,0.05,0,0.465825,0.45535,0.04595,0.032875
"254",0.08,0,0,0.77775,0.13725,0.07225,0.01275
"255",0.17,0.25,0,0.719575,0.2122,0.05495,0.013275
